Kiosk details : 
1. (3046, 1454)
2. (704, 4547)
3. (4498, 976)
4. (2755, 597)
5. (3147, 1095)


Camera details : 
1. (859, 3610)
2. (2862, 91)
3. (3991, 4024)
4. (2606, 3174)
5. (2374, 1906)
6. (3515, 1784)
7. (127, 132)
8. (2259, 1837)
9. (3732, 2240)
10. (75, 316)
11. (2797, 2839)
12. (980, 3883)
13. (964, 2750)
14. (1653, 3233)
15. (4510, 4792)
16. (4206, 2787)
17. (4997, 2290)
18. (2425, 3628)
19. (3215, 4030)
20. (1145, 1460)
21. (4616, 3299)
22. (908, 1883)
23. (1350, 2703)
24. (3314, 2995)
25. (1426, 2070)
26. (2521, 3743)
27. (869, 1771)
28. (2192, 4568)
29. (2475, 3065)
30. (2814, 4732)


Camera	Kiosk	Distance
1		2		949.73
2		4		517.19
3		1		2738.23
4		1		1775.39
5		1		809.87
6		1		573.46
7		4		2668.82
8		1		875.25
9		1		1043.26
10		4		2694.69
11		1		1407.21
12		2		719.08
13		2		1815.71
14		2		1620.86
15		1		3644.93
16		1		1767.06
17		3		1405.56
18		2		1951.00
19		2		2563.67
20		4		1826.71
21		3		2326.00
22		1		2180.62
23		2		1953.88
24		1		1564.13
25		1		1733.16
26		2		1986.93
27		1		2199.96
28		2		1488.15
29		1		1709.20
30		2		2118.09
